,Pclass,Sex,Age,Fare,Cabin,Prefix,Q,S,Family
0,3,0,22.0,7.25,0,0,0,1,2
1,1,1,38.0,71.2833,1,2,0,0,2
2,3,1,26.0,7.925,0,1,0,1,1
3,1,1,35.0,53.1,1,2,0,1,2
4,3,0,35.0,8.05,0,0,0,1,1
5,3,0,25.14061971830986,8.4583,0,0,1,0,1
6,1,0,54.0,51.8625,1,0,0,1,1
7,3,0,2.0,21.075,0,0,0,1,5
8,3,1,27.0,11.1333,0,2,0,1,3
9,2,1,14.0,30.0708,0,2,0,0,2
10,3,1,4.0,16.7,1,1,0,1,3
11,1,1,58.0,26.55,1,1,0,1,1
12,3,0,20.0,8.05,0,0,0,1,1
13,3,0,39.0,31.275,0,0,0,1,7
14,3,1,14.0,7.8542,0,1,0,1,1
15,2,1,55.0,16.0,0,2,0,1,1
16,3,0,2.0,29.125,0,0,1,0,6
17,2,0,29.87763005780347,13.0,0,0,0,1,1
18,3,1,31.0,18.0,0,2,0,1,2
19,3,1,25.14061971830986,7.225,0,2,0,0,1
20,2,0,35.0,26.0,0,0,0,1,1
21,2,0,34.0,13.0,1,0,0,1,1
22,3,1,15.0,8.0292,0,1,1,0,1
23,1,0,28.0,35.5,1,0,0,1,1
24,3,1,8.0,21.075,0,1,0,1,5
25,3,1,38.0,31.3875,0,2,0,1,7
26,3,0,25.14061971830986,7.225,0,0,0,0,1
27,1,0,19.0,263.0,1,0,0,1,6
28,3,1,25.14061971830986,7.8792,0,1,1,0,1
29,3,0,25.14061971830986,7.8958,0,0,0,1,1
30,1,0,40.0,27.7208,0,3,0,0,1
31,1,1,38.233440860215055,146.5208,1,2,0,0,2
32,3,1,25.14061971830986,7.75,0,1,1,0,1
33,2,0,66.0,10.5,0,0,0,1,1
34,1,0,28.0,82.1708,0,0,0,0,2
35,1,0,42.0,52.0,0,0,0,1,2
36,3,0,25.14061971830986,7.2292,0,0,0,0,1
37,3,0,21.0,8.05,0,0,0,1,1
38,3,1,18.0,18.0,0,1,0,1,3
39,3,1,14.0,11.2417,0,1,0,0,2
40,3,1,40.0,9.475,0,2,0,1,2
41,2,1,27.0,21.0,0,2,0,1,2
42,3,0,25.14061971830986,7.8958,0,0,0,0,1
43,2,1,3.0,41.5792,0,1,0,0,4
44,3,1,19.0,7.8792,0,1,1,0,1
45,3,0,25.14061971830986,8.05,0,0,0,1,1
46,3,0,25.14061971830986,15.5,0,0,1,0,2
47,3,1,25.14061971830986,7.75,0,1,1,0,1
48,3,0,25.14061971830986,21.6792,0,0,0,0,3
49,3,1,18.0,17.8,0,2,0,1,2
50,3,0,7.0,39.6875,0,0,0,1,6
51,3,0,21.0,7.8,0,0,0,1,1
52,1,1,49.0,76.7292,1,2,0,0,2
53,2,1,29.0,26.0,0,2,0,1,2
54,1,0,65.0,61.9792,1,0,0,0,2
55,1,0,38.233440860215055,35.5,1,0,0,1,1
56,2,1,21.0,10.5,0,1,0,1,1
57,3,0,28.5,7.2292,0,0,0,0,1
58,2,1,5.0,27.75,0,1,0,1,4
59,3,0,11.0,46.9,0,0,0,1,8
60,3,0,22.0,7.2292,0,0,0,0,1
61,1,1,38.0,80.0,1,1,0,0,1
62,1,0,45.0,83.475,1,0,0,1,2
63,3,0,4.0,27.9,0,0,0,1,6
64,1,0,38.233440860215055,27.7208,0,0,0,0,1
65,3,0,25.14061971830986,15.2458,0,0,0,0,3
66,2,1,29.0,10.5,1,2,0,1,1
67,3,0,19.0,8.1583,0,0,0,1,1
68,3,1,17.0,7.925,0,1,0,1,7
69,3,0,26.0,8.6625,0,0,0,1,3
70,2,0,32.0,10.5,0,0,0,1,1
71,3,1,16.0,46.9,0,1,0,1,8
72,2,0,21.0,73.5,0,0,0,1,1
73,3,0,26.0,14.4542,0,0,0,0,2
74,3,0,32.0,56.4958,0,0,0,1,1
75,3,0,25.0,7.65,1,0,0,1,1
76,3,0,25.14061971830986,7.8958,0,0,0,1,1
77,3,0,25.14061971830986,8.05,0,0,0,1,1
78,2,0,0.83,29.0,0,0,0,1,3
79,3,1,30.0,12.475,0,1,0,1,1
80,3,0,22.0,9.0,0,0,0,1,1
81,3,0,29.0,9.5,0,0,0,1,1
82,3,1,25.14061971830986,7.7875,0,1,1,0,1
83,1,0,28.0,47.1,0,0,0,1,1
84,2,1,17.0,10.5,0,1,0,1,1
85,3,1,33.0,15.85,0,2,0,1,4
86,3,0,16.0,34.375,0,0,0,1,5
87,3,0,25.14061971830986,8.05,0,0,0,1,1
88,1,1,23.0,263.0,1,1,0,1,6
89,3,0,24.0,8.05,0,0,0,1,1
90,3,0,29.0,8.05,0,0,0,1,1
91,3,0,20.0,7.8542,0,0,0,1,1
92,1,0,46.0,61.175,1,0,0,1,2
93,3,0,26.0,20.575,0,0,0,1,4
94,3,0,59.0,7.25,0,0,0,1,1
95,3,0,25.14061971830986,8.05,0,0,0,1,1
96,1,0,71.0,34.6542,1,0,0,0,1
97,1,0,23.0,63.3583,1,0,0,0,2
98,2,1,34.0,23.0,0,2,0,1,2
99,2,0,34.0,26.0,0,0,0,1,2
100,3,1,28.0,7.8958,0,1,0,1,1
101,3,0,25.14061971830986,7.8958,0,0,0,1,1
102,1,0,21.0,77.2875,1,0,0,1,2
103,3,0,33.0,8.6542,0,0,0,1,1
104,3,0,37.0,7.925,0,0,0,1,3
105,3,0,28.0,7.8958,0,0,0,1,1
106,3,1,21.0,7.65,0,1,0,1,1
107,3,0,25.14061971830986,7.775,0,0,0,1,1
108,3,0,38.0,7.8958,0,0,0,1,1
109,3,1,25.14061971830986,24.15,0,1,1,0,2
110,1,0,47.0,52.0,1,0,0,1,1
111,3,1,14.5,14.4542,0,1,0,0,2
112,3,0,22.0,8.05,0,0,0,1,1
113,3,1,20.0,9.825,0,1,0,1,2
114,3,1,17.0,14.4583,0,1,0,0,1
115,3,0,21.0,7.925,0,0,0,1,1
116,3,0,70.5,7.75,0,0,1,0,1
117,2,0,29.0,21.0,0,0,0,1,2
118,1,0,24.0,247.5208,1,0,0,0,2
119,3,1,2.0,31.275,0,1,0,1,7
120,2,0,21.0,73.5,0,0,0,1,3
121,3,0,25.14061971830986,8.05,0,0,0,1,1
122,2,0,32.5,30.0708,0,0,0,0,2
123,2,1,32.5,13.0,1,1,0,1,1
124,1,0,54.0,77.2875,1,0,0,1,2
125,3,0,12.0,11.2417,0,0,0,0,2
126,3,0,25.14061971830986,7.75,0,0,1,0,1
127,3,0,24.0,7.1417,0,0,0,1,1
128,3,1,25.14061971830986,22.3583,1,1,0,0,3
129,3,0,45.0,6.975,0,0,0,1,1
130,3,0,33.0,7.8958,0,0,0,0,1
131,3,0,20.0,7.05,0,0,0,1,1
132,3,1,47.0,14.5,0,2,0,1,2
133,2,1,29.0,26.0,0,2,0,1,2
134,2,0,25.0,13.0,0,0,0,1,1
135,2,0,23.0,15.0458,0,0,0,0,1
136,1,1,19.0,26.2833,1,1,0,1,3
137,1,0,37.0,53.1,1,0,0,1,2
138,3,0,16.0,9.2167,0,0,0,1,1
139,1,0,24.0,79.2,1,0,0,0,1
140,3,1,25.14061971830986,15.2458,0,2,0,0,3
141,3,1,22.0,7.75,0,1,0,1,1
142,3,1,24.0,15.85,0,2,0,1,2
143,3,0,19.0,6.75,0,0,1,0,1
144,2,0,18.0,11.5,0,0,0,1,1
145,2,0,19.0,36.75,0,0,0,1,3
146,3,0,27.0,7.7958,0,0,0,1,1
147,3,1,9.0,34.375,0,1,0,1,5
148,2,0,36.5,26.0,1,0,0,1,3
149,2,0,42.0,13.0,0,3,0,1,1
150,2,0,51.0,12.525,0,3,0,1,1
151,1,1,22.0,66.6,1,2,0,1,2
152,3,0,55.5,8.05,0,0,0,1,1
153,3,0,40.5,14.5,0,0,0,1,3
154,3,0,25.14061971830986,7.3125,0,0,0,1,1
155,1,0,51.0,61.3792,0,0,0,0,2
156,3,1,16.0,7.7333,0,1,1,0,1
157,3,0,30.0,8.05,0,0,0,1,1
158,3,0,25.14061971830986,8.6625,0,0,0,1,1
159,3,0,25.14061971830986,69.55,0,0,0,1,11
160,3,0,44.0,16.1,0,0,0,1,2
161,2,1,40.0,15.75,0,2,0,1,1
162,3,0,26.0,7.775,0,0,0,1,1
163,3,0,17.0,8.6625,0,0,0,1,1
164,3,0,1.0,39.6875,0,0,0,1,6
165,3,0,9.0,20.525,0,0,0,1,3
166,1,1,38.233440860215055,55.0,1,2,0,1,2
167,3,1,45.0,27.9,0,2,0,1,6
168,1,0,38.233440860215055,25.925,0,0,0,1,1
169,3,0,28.0,56.4958,0,0,0,1,1
170,1,0,61.0,33.5,1,0,0,1,1
171,3,0,4.0,29.125,0,0,1,0,6
172,3,1,1.0,11.1333,0,1,0,1,3
173,3,0,21.0,7.925,0,0,0,1,1
174,1,0,56.0,30.6958,1,0,0,0,1
175,3,0,18.0,7.8542,0,0,0,1,3
176,3,0,25.14061971830986,25.4667,0,0,0,1,5
177,1,1,50.0,28.7125,1,1,0,0,1
178,2,0,30.0,13.0,0,0,0,1,1
179,3,0,36.0,0.0,0,0,0,1,1
180,3,1,25.14061971830986,69.55,0,1,0,1,11
181,2,0,29.87763005780347,15.05,0,0,0,0,1
182,3,0,9.0,31.3875,0,0,0,1,7
183,2,0,1.0,39.0,1,0,0,1,4
184,3,1,4.0,22.025,0,1,0,1,3
185,1,0,38.233440860215055,50.0,1,0,0,1,1
186,3,1,25.14061971830986,15.5,0,2,1,0,2
187,1,0,45.0,26.55,0,0,0,1,1
188,3,0,40.0,15.5,0,0,1,0,3
189,3,0,36.0,7.8958,0,0,0,1,1
190,2,1,32.0,13.0,0,2,0,1,1
191,2,0,19.0,13.0,0,0,0,1,1
192,3,1,19.0,7.8542,0,1,0,1,2
193,2,0,3.0,26.0,1,0,0,1,3
194,1,1,44.0,27.7208,1,2,0,0,1
195,1,1,58.0,146.5208,1,1,0,0,1
196,3,0,25.14061971830986,7.75,0,0,1,0,1
197,3,0,42.0,8.4042,0,0,0,1,2
198,3,1,25.14061971830986,7.75,0,1,1,0,1
199,2,1,24.0,13.0,0,1,0,1,1
200,3,0,28.0,9.5,0,0,0,1,1
201,3,0,25.14061971830986,69.55,0,0,0,1,11
202,3,0,34.0,6.4958,0,0,0,1,1
203,3,0,45.5,7.225,0,0,0,0,1
204,3,0,18.0,8.05,0,0,0,1,1
205,3,1,2.0,10.4625,1,1,0,1,2
